tweet_text,topic,char_count
tbh i just realized past midnight — cant believe its already this late — still im feeling weirdly calm and my brain is doing laps — for some reason lmao sending good vibes,cant believe,171
literally i swear after lunch — thinking about covid-19 and how it changed everything — for some reason im feeling wired and my coffee didnt help — and yet 😅 trying again tomorrow,covid-19,179
"not gonna lie i cant decide if before sunrise, last day of this and i have mixed feelings, plus im feeling kinda hype and my playlist is carrying, also 😴 ok im done",last day,164
weirdly im stuck on lately — going bed like im powering down — still im feeling in my feels and my vibe is off,going bed,110
idk man i cant decide if before sunrise. covid-19 stuff is still messing with plans. meanwhile im feeling so done and my to-do list is laughing at me. also ugh ok im done,covid-19,170
low key i swear after lunch — got back and my bed never looked better — for some reason im feeling tired and my room is a mess — and yet smh thats it thats the tweet,got back,165
tbh i just realized right now — good morning to everyone except my alarm — meanwhile im feeling a little anxious and my vibe is off — still idkkkk thats it thats the tweet,good morning,171
kinda i keep saying lately — good morning but my body says no — so anyway im feeling kinda hype and my to-do list is laughing at me — then again okayyy im just saying,good morning,166
honestly im noticing after lunch — good morning but my body says no — so anyway okayyy whateverrrrr ... im gonna log off,good morning,120
"weirdly im stuck on past midnight, thinking about covid-19 and how it changed everything, also im feeling so done and my energy is at 1%",covid-19,136
not gonna lie im noticing right now ... getting ready like its a whole side quest ... also im feeling over it and my phone battery is hanging on ... and yet bruh anyone else?,getting ready,174
not gonna lie i swear this week / got home and my couch grabbed me bruh ... sending good vibes ... smh,got home,102
weirdly i cant even after lunch. got back like wow i missed doing nothing. for some reason im feeling relieved and my brain is doing laps. still 😭 cant make this up,got back,164
honestly i cant decide if these days — covid-19 vibes are not it — also im feeling over it and my playlist is carrying,covid-19,118
"literally im stuck on lately, cant believe that just happened, but also im feeling so done and my room is a mess",cant believe,112
fr i just realized this morning ... got back and my bed never looked better ... plus im feeling hopeful and my playlist is carrying,got back,131
idk man i cant even today / looking forward to finally breathing / so anyway im feeling kinda hype and my schedule is chaos / either way soooo pls tell me im not alone,looking forward,167
fr i cant even before sunrise / looking forward to a quiet moment / plus im feeling in my feels and my energy is at 1% / but also rip trying again tomorrow,looking forward,155
weirdly i keep replaying after lunch — got back and now i need a recovery day — meanwhile im feeling over it and my coffee didnt help,got back,133
fr i keep replaying after lunch | cant believe its already this late | meanwhile im feeling over it and my energy is at 1%,cant believe,122
ngl i cant decide if these days ... going bed like im powering down ... also im feeling stressed and my energy is at 1%,going bed,119
"tbh i just realized before sunrise ... cant sleep, ceiling fan is my audience ... still im feeling over it and my thoughts are loud ... also bruh whateverrrrr",cant sleep,158
literally i just realized this morning. getting ready like its a whole side quest. but also im feeling wired and my energy is at 1%. then again 😭 anyone else?,getting ready,158
"weirdly im stuck on at like 2am, cant believe i said that out loud, plus im feeling stressed and my energy is at 1%, and yet idkkkk anyone else?",cant believe,144
kinda im realizing before sunrise — looking forward to a quiet moment — still im feeling relieved and my coffee didnt help — and yet 😭 thats it thats the tweet,looking forward,159
"ngl im still on before sunrise, last day, why does time move weird, meanwhile im feeling wired and my playlist is carrying",last day,122
"honestly im still on past midnight, got home and instantly forgot what day it is, either way im feeling tired and my vibe is off, also ugh im just saying",got home,153
ngl i keep saying at like 2am ... cant wait for this to finally happen ... also im feeling kinda hype and my thoughts are loud,cant wait,126
tbh i just realized past midnight / getting ready while my brain argues with itself / for some reason im feeling in my feels and my thoughts are loud / either way 😴 sending good vibes,getting ready,183
"ok so i swear today / good morning, lets pretend i slept / plus im feeling relieved and my brain is doing laps / also 😭 im gonna log off",good morning,136
yo im still on this week. cant wait because ive needed this — lol — bruh idkkkk — my brain is doing laps,cant wait,104
real talk im stuck on all day. looking forward to finally breathing. then again im feeling in my feels and my brain is doing laps. meanwhile bruh ok im done,looking forward,156
"literally i keep replaying at like 2am. happy mothers day, hope today is gentle. for some reason im feeling relieved and my vibe is off",happy mothers,135
ok so im stuck on tonight | got back and everything feels slightly unreal | for some reason im feeling a little anxious and my coffee didnt help | then again 😴 cant make this up,got back,177
ok so im realizing today / last day and my motivation disappeared / so anyway im feeling stressed and my brain is doing laps,last day,124
ngl im thinking after lunch ... got back and my bed never looked better ... so anyway im feeling kinda hype and my thoughts are loud ... but also 🤦 im gonna log off,got back,164
"weirdly im noticing this morning — looking forward to better days, fr — and yet bruh im gonna log off",looking forward,101
kinda i cant even this morning — last day and suddenly every task appears — either way im feeling stressed and my schedule is chaos,last day,131
ngl i cant decide if all day / last day of this and i have mixed feelings / meanwhile 😴 pls tell me im not alone,last day,112
"low key i just realized tonight, got home and collapsed, dramatic but true, then again im feeling a little anxious and my playlist is carrying, but also 😅 thats it thats the tweet",got home,179
"tbh i swear tonight, got back and everything feels slightly unreal — bruh ... 😅 — wtf — 🤦 ... 🤦 rip ok im done",got back,110
idk man i swear tonight | cant sleep and my thoughts are doing overtime ... lmao wtf — lmao — pls tell me im not alone,cant sleep,118
"ngl im noticing at like 2am — last day, why does time move weird — either way okayyy im gonna log off",last day,101
"weirdly i keep saying this week. looking forward to better days, fr. so anyway im feeling relieved and my energy is at 1%",looking forward,121
fr i just realized this morning ... happy mothers day to all the caretakers too ... still im feeling relieved and my schedule is chaos,happy mothers,134
real talk im noticing lately. got back like wow i missed doing nothing. but also 😅 whateverrrrr — lol,got back,101
not gonna lie i swear after lunch. looking forward to a quiet moment. either way im feeling so done and my coffee didnt help,looking forward,124
"not gonna lie i cant decide if these days ... going bed, brain pls be quiet ... also idkkkk trying again tomorrow",going bed,113
yo i cant even right now ... happy mothers day to all the caretakers too ... either way soooo pls tell me im not alone,happy mothers,118
"real talk i swear this morning. good morning, i blinked and its already chaos. so anyway im feeling wired and my thoughts are loud",good morning,130
literally i keep saying past midnight | cant wait for this to finally happen ... thats it thats the tweet,cant wait,105
"tbh i swear after lunch, happy mothers day to everyone showing up with love, meanwhile im feeling kinda hype and my to-do list is laughing at me",happy mothers,144
fr im realizing past midnight. good morning but my body says no. still im feeling tired and my brain is doing laps. but also 🤦 sending good vibes,good morning,145
low key im stuck on after lunch | cant believe its already this late | so anyway im feeling burnt out and my coffee didnt help | plus 😅 im gonna log off,cant believe,152
"not gonna lie i keep saying before sunrise, good morning to everyone except my alarm, still im feeling tired and my energy is at 1%, either way lmao cant make this up",good morning,166
kinda i cant even these days | got home and my couch grabbed me | plus im feeling tired and my to-do list is laughing at me | then again likeeee thats it thats the tweet,got home,169
kinda i keep replaying tonight / cant believe my luck today / either way im feeling so done and my vibe is off,cant believe,110
fr im still on this morning ... last day and my motivation disappeared ... then again im feeling weirdly calm and my vibe is off ... also likeeee anyone else?,last day,158
not gonna lie im realizing at like 2am / got back and now i need a recovery day / either way im feeling tired and my brain is doing laps,got back,136
yo i cant decide if this morning — getting ready while my brain argues with itself — so anyway 😴 whateverrrrr,getting ready,109
"yo i cant even after lunch ... going bed, tomorrow can wait ... but also im feeling tired and my thoughts are loud",going bed,114
"kinda i just realized all day ... happy mothers day, sending extra hugs ... meanwhile im feeling over it and my vibe is off",happy mothers,123
"honestly im realizing tonight ... good morning, lets pretend i slept ... also im feeling burnt out and my room is a mess ... for some reason soooo pls tell me im not alone",good morning,171
kinda i keep saying all day | cant wait for this to finally happen | also rip cant make this up 🤦 — my to-do list is laughing at me,cant wait,131
honestly i keep replaying after lunch | got home and my couch grabbed me | still im feeling hopeful and my phone battery is hanging on,got home,134
literally i cant even past midnight — last day of this and i have mixed feelings — still im feeling tired and my coffee didnt help — still soooo sending good vibes,last day,163
ok so i keep replaying before sunrise. cant wait for this to finally happen. either way lmao pls tell me im not alone,cant wait,117
kinda i keep saying at like 2am ... looking forward to finally breathing ... meanwhile im feeling so done and my schedule is chaos ... and yet 🤦 cant make this up,looking forward,162
"kinda im still on this morning. cant sleep, ceiling fan is my audience. either way im feeling tired and my brain is doing laps. meanwhile smh thats it thats the tweet",cant sleep,166
fr im thinking at like 2am. covid-19 stuff is still messing with plans. either way bruh trying again tomorrow,covid-19,109
"fr im thinking this week — good morning, i blinked and its already chaos — also ugh trying again tomorrow",good morning,105
real talk i just realized today / good morning to everyone except my alarm / so anyway im feeling weirdly calm and my schedule is chaos / meanwhile 😭 cant make this up,good morning,167
honestly im noticing past midnight | happy mothers day to all the caretakers too | either way im feeling hopeful and my thoughts are loud,happy mothers,137
"kinda i cant decide if this week | happy mothers day, hope today is gentle | and yet im feeling in my feels and my thoughts are loud | still lmao sending good vibes",happy mothers,164
ok so i swear at like 2am | good morning but my body says no | still im feeling wired and my schedule is chaos | for some reason bruh im gonna log off,good morning,150
"yo im thinking at like 2am ... cant sleep, ceiling fan is my audience ... then again im feeling so done and my coffee didnt help",cant sleep,128
ngl i cant even past midnight — last day and my motivation disappeared — and yet im feeling so done and my energy is at 1% — either way smh sending good vibes,last day,158
kinda im noticing this week ... last day and my motivation disappeared 😭 ... my playlist is carrying,last day,100
"real talk i keep saying right now. cant sleep, ceiling fan is my audience. still lmao im gonna log off",cant sleep,102
"low key i swear at like 2am, going bed and praying i fall asleep fast, meanwhile smh im just saying — my thoughts are loud",going bed,122
honestly i just realized this week ... happy mothers day to everyone showing up with love ... for some reason lol trying again tomorrow,happy mothers,135
